system,batchlog,id,CampoObligatorioSinValidacion
system,batchlog,data,CampoObligatorioSinValidacion
system,batchlog,version,CampoObligatorioSinValidacion
system,batchlog,written_at,CampoObligatorioSinValidacion
system,compaction_history,id,CampoObligatorioSinValidacion
system,compaction_history,bytes_in,CampoObligatorioSinValidacion
system,compaction_history,bytes_out,CampoObligatorioSinValidacion
system,compaction_history,columnfamily_name,CampoObligatorioSinValidacion
system,compaction_history,compacted_at,CampoObligatorioSinValidacion
system,compaction_history,keyspace_name,CampoObligatorioSinValidacion
system,compaction_history,rows_merged,CampoObligatorioSinValidacion
system,compactions_in_progress,id,CampoObligatorioSinValidacion
system,compactions_in_progress,columnfamily_name,CampoObligatorioSinValidacion
system,compactions_in_progress,inputs,CampoObligatorioSinValidacion
system,compactions_in_progress,keyspace_name,CampoObligatorioSinValidacion
system,hints,hint_id,CampoObligatorioSinValidacion
system,hints,message_version,CampoObligatorioSinValidacion
system,hints,compact_value,CampoObligatorioSinValidacion
system,hints,target_id,CampoObligatorioSinValidacion
system,local,key,CampoObligatorioSinValidacion
system,local,bootstrapped,CampoObligatorioSinValidacion
system,local,cluster_name,CampoObligatorioSinValidacion
system,local,cql_version,CampoObligatorioSinValidacion
system,local,data_center,CampoObligatorioSinValidacion
system,local,gossip_generation,CampoObligatorioSinValidacion
system,local,host_id,CampoObligatorioSinValidacion
system,local,native_protocol_version,CampoObligatorioSinValidacion
system,local,partitioner,CampoObligatorioSinValidacion
system,local,rack,CampoObligatorioSinValidacion
system,local,release_version,CampoObligatorioSinValidacion
system,local,schema_version,CampoObligatorioSinValidacion
system,local,thrift_version,CampoObligatorioSinValidacion
system,local,tokens,CampoObligatorioSinValidacion
system,local,truncated_at,CampoObligatorioSinValidacion
system,paxos,cf_id,CampoObligatorioSinValidacion
system,paxos,row_key,CampoObligatorioSinValidacion
system,paxos,in_progress_ballot,CampoObligatorioSinValidacion
system,paxos,most_recent_commit,CampoObligatorioSinValidacion
system,paxos,most_recent_commit_at,CampoObligatorioSinValidacion
system,paxos,proposal,CampoObligatorioSinValidacion
system,paxos,proposal_ballot,CampoObligatorioSinValidacion
system,peer_events,peer,CampoObligatorioSinValidacion
system,peer_events,hints_dropped,CampoObligatorioSinValidacion
system,peers,peer,CampoObligatorioSinValidacion
system,peers,data_center,CampoObligatorioSinValidacion
system,peers,host_id,CampoObligatorioSinValidacion
system,peers,preferred_ip,CampoObligatorioSinValidacion
system,peers,rack,CampoObligatorioSinValidacion
system,peers,release_version,CampoObligatorioSinValidacion
system,peers,rpc_address,CampoObligatorioSinValidacion
system,peers,schema_version,CampoObligatorioSinValidacion
system,peers,tokens,CampoObligatorioSinValidacion
system,range_xfers,token_bytes,CampoObligatorioSinValidacion
system,range_xfers,requested_at,CampoObligatorioSinValidacion
system,schema_columnfamilies,columnfamily_name,CampoObligatorioSinValidacion
system,schema_columnfamilies,keyspace_name,CampoObligatorioSinValidacion
system,schema_columnfamilies,bloom_filter_fp_chance,CampoObligatorioSinValidacion
system,schema_columnfamilies,caching,CampoObligatorioSinValidacion
system,schema_columnfamilies,column_aliases,CampoObligatorioSinValidacion
system,schema_columnfamilies,comment,CampoObligatorioSinValidacion
system,schema_columnfamilies,compaction_strategy_class,CampoObligatorioSinValidacion
system,schema_columnfamilies,compaction_strategy_options,CampoObligatorioSinValidacion
system,schema_columnfamilies,comparator,CampoObligatorioSinValidacion
system,schema_columnfamilies,compression_parameters,CampoObligatorioSinValidacion
system,schema_columnfamilies,default_time_to_live,CampoObligatorioSinValidacion
system,schema_columnfamilies,default_validator,CampoObligatorioSinValidacion
system,schema_columnfamilies,dropped_columns,CampoObligatorioSinValidacion
system,schema_columnfamilies,gc_grace_seconds,CampoObligatorioSinValidacion
system,schema_columnfamilies,index_interval,CampoObligatorioSinValidacion
system,schema_columnfamilies,is_dense,CampoObligatorioSinValidacion
system,schema_columnfamilies,key_aliases,CampoObligatorioSinValidacion
system,schema_columnfamilies,key_validator,CampoObligatorioSinValidacion
system,schema_columnfamilies,local_read_repair_chance,CampoObligatorioSinValidacion
system,schema_columnfamilies,max_compaction_threshold,CampoObligatorioSinValidacion
system,schema_columnfamilies,memtable_flush_period_in_ms,CampoObligatorioSinValidacion
system,schema_columnfamilies,min_compaction_threshold,CampoObligatorioSinValidacion
system,schema_columnfamilies,populate_io_cache_on_flush,CampoObligatorioSinValidacion
system,schema_columnfamilies,read_repair_chance,CampoObligatorioSinValidacion
system,schema_columnfamilies,replicate_on_write,CampoObligatorioSinValidacion
system,schema_columnfamilies,speculative_retry,CampoObligatorioSinValidacion
system,schema_columnfamilies,subcomparator,CampoObligatorioSinValidacion
system,schema_columnfamilies,type,CampoObligatorioSinValidacion
system,schema_columnfamilies,value_alias,CampoObligatorioSinValidacion
system,schema_columns,column_name,CampoObligatorioSinValidacion
system,schema_columns,columnfamily_name,CampoObligatorioSinValidacion
system,schema_columns,keyspace_name,CampoObligatorioSinValidacion
system,schema_columns,component_index,CampoObligatorioSinValidacion
system,schema_columns,index_name,CampoObligatorioSinValidacion
system,schema_columns,index_options,CampoObligatorioSinValidacion
system,schema_columns,index_type,CampoObligatorioSinValidacion
system,schema_columns,type,CampoObligatorioSinValidacion
system,schema_columns,validator,CampoObligatorioSinValidacion
system,schema_keyspaces,keyspace_name,CampoObligatorioSinValidacion
system,schema_keyspaces,durable_writes,CampoObligatorioSinValidacion
system,schema_keyspaces,strategy_class,CampoObligatorioSinValidacion
system,schema_keyspaces,strategy_options,CampoObligatorioSinValidacion
system,schema_triggers,columnfamily_name,CampoObligatorioSinValidacion
system,schema_triggers,trigger_name,CampoObligatorioSinValidacion
system,schema_triggers,keyspace_name,CampoObligatorioSinValidacion
system,schema_triggers,trigger_options,CampoObligatorioSinValidacion
system,sstable_activity,columnfamily_name,CampoObligatorioSinValidacion
system,sstable_activity,generation,CampoObligatorioSinValidacion
system,sstable_activity,keyspace_name,CampoObligatorioSinValidacion
system,sstable_activity,rate_120m,CampoObligatorioSinValidacion
system,sstable_activity,rate_15m,CampoObligatorioSinValidacion
system_traces,events,event_id,CampoObligatorioSinValidacion
system_traces,events,session_id,CampoObligatorioSinValidacion
system_traces,events,activity,CampoObligatorioSinValidacion
system_traces,events,source,CampoObligatorioSinValidacion
system_traces,events,source_elapsed,CampoObligatorioSinValidacion
system_traces,events,thread,CampoObligatorioSinValidacion
system_traces,sessions,session_id,CampoObligatorioSinValidacion
system_traces,sessions,coordinator,CampoObligatorioSinValidacion
system_traces,sessions,duration,CampoObligatorioSinValidacion
system_traces,sessions,parameters,CampoObligatorioSinValidacion
system_traces,sessions,request,CampoObligatorioSinValidacion
system_traces,sessions,started_at,CampoObligatorioSinValidacion
diewebsiten,codigos_por_pagina,idioma,CampoTipoIdioma
diewebsiten,codigos_por_pagina,nombre,CampoTipoURL
diewebsiten,codigos_por_pagina,pagina,CampoTipoURL
diewebsiten,codigos_por_pagina,sitioweb,CampoTipoURL
diewebsiten,codigos_por_pagina,codigo,CampoObligatorioSinValidacion
diewebsiten,colecciones,coleccion,CampoTipoCamelCaseMetodo
diewebsiten,colecciones,tipo,CampoTipoCaracterSinEspaciosMayusculas
diewebsiten,colecciones,tipolist,CampoTipoJson
diewebsiten,colecciones,tipomap,CampoTipoJson
diewebsiten,colecciones,tiposet,CampoTipoJson
diewebsiten,despliegues,pagina,CampoTipoURL
diewebsiten,despliegues,ruta,CampoTipoRuta
diewebsiten,despliegues,sitioweb,CampoTipoURL
diewebsiten,diccionario_columnas,columna,CampoTipoCaracterSinEspaciosMinusculas
diewebsiten,diccionario_columnas,tabla,CampoTipoCaracterConEspaciosMinusculasGuionBajo
diewebsiten,diccionario_columnas,tipo,CampoTipoCaracterConEspaciosMinusculasGuionBajo
diewebsiten,diccionario_columnas,basededatos,CampoTipoCaracterSinEspaciosMinusculas
diewebsiten,diccionario_columnas,validaciones,CampoTipoJson
diewebsiten,enunciados,etiqueta,CampoTipoCaracterSinEspaciosMinusculas
diewebsiten,enunciados,idioma,CampoTipoIdioma
diewebsiten,enunciados,nivel,CampoTipoNumericoSinEspacios
diewebsiten,enunciados,pagina,CampoTipoURL
diewebsiten,enunciados,ruta,CampoTipoRuta
diewebsiten,enunciados,sitioweb,CampoTipoURL
diewebsiten,enunciados,atributos,CampoTipoJson
diewebsiten,enunciados,texto,CampoOpcionalSinValidacion
diewebsiten,eventos,basededatos,CampoTipoCaracterSinEspaciosMinusculas
diewebsiten,eventos,evento,CampoTipoCamelCaseClase
diewebsiten,eventos,pagina,CampoTipoURL
diewebsiten,eventos,tipotransaccion,CampoTipoCaracterSinEspaciosMayusculas
diewebsiten,eventos,transaccion,CampoTipoCamelCaseMetodo
diewebsiten,eventos,sitioweb,CampoTipoURL
diewebsiten,eventos,descripcion,CampoOpcionalSinValidacion
diewebsiten,eventos,necesitaformulario,CampoTipoCaracterSinEspaciosMayusculas
diewebsiten,eventos,orden,CampoTipoNumericoSinEspacios
diewebsiten,eventos,sentenciacql,CampoObligatorioSinValidacion
diewebsiten,eventos,tabla,CampoTipoCaracterConEspaciosMinusculasGuionBajo
diewebsiten,eventos,tipolista,CampoTipoCaracterSinEspaciosMinusculas
diewebsiten,formularios,evento,CampoTipoCamelCaseClase
diewebsiten,formularios,pagina,CampoTipoURL
diewebsiten,formularios,campo,CampoTipoCaracterSinEspaciosMinusculas
diewebsiten,formularios,sitioweb,CampoTipoURL
diewebsiten,formularios,grupovalidacion,CampoTipoCamelCaseClase
diewebsiten,formularios,formaingreso,CampoTipoCamelCaseMetodo
diewebsiten,sentencias_cql,clausula,CampoTipoCaracterSinEspaciosMayusculas
diewebsiten,sentencias_cql,pagina,CampoTipoURL
diewebsiten,sentencias_cql,campo,CampoTipoCaracterSinEspaciosMinusculas
diewebsiten,sentencias_cql,tipotransaccion,CampoTipoCaracterSinEspaciosMayusculas
diewebsiten,sentencias_cql,transaccion,CampoTipoCamelCaseMetodo
diewebsiten,sentencias_cql,sitioweb,CampoTipoURL
diewebsiten,sentencias_cql,alias,CampoObligatorioSinValidacion
diewebsiten,sentencias_cql,valorpordefecto,CampoObligatorioSinValidacion
diewebsiten,sesiones,dominio,CampoTipoCaracterSinEspacios
diewebsiten,sesiones,sessionid,CampoTipoCaracterSinEspacios
diewebsiten,sesiones,usuario,CampoTipoCaracterSinEspacios
diewebsiten,sesiones,sitioweb,CampoTipoURL
diewebsiten,sesiones,fechaultimoacceso,CampoTipoFechaHora
diewebsiten,sitiosweb_paginas_elementos,pagina,CampoTipoURL
diewebsiten,sitiosweb_paginas_elementos,sitioweb,CampoTipoURL
diewebsiten,sitiosweb_paginas_elementos,tipo,CampoTipoCaracterSinEspaciosMayusculas
diewebsiten,sitiosweb_paginas_elementos,basesdedatos,CampoTipoJson
diewebsiten,sitiosweb_paginas_elementos,descripcion,CampoOpcionalSinValidacion
diewebsiten,sitiosweb_paginas_elementos,nombre,CampoObligatorioSinValidacion
diewebsiten,transacciones_por_tabla,basededatos,CampoTipoCaracterSinEspaciosMinusculas
diewebsiten,transacciones_por_tabla,tabla,CampoTipoCaracterConEspaciosMinusculasGuionBajo
diewebsiten,transacciones_por_tabla,tipotransaccion,CampoTipoCaracterSinEspaciosMayusculas
diewebsiten,usuarios,dominio,CampoTipoCaracterSinEspacios
diewebsiten,usuarios,usuario,CampoTipoCaracterSinEspacios
diewebsiten,usuarios,sitioweb,CampoTipoURL
diewebsiten,usuarios,contrasena,CampoTipoCaracterSinEspacios
diewebsiten,validaciones,nombre,CampoTipoCamelCaseClase
diewebsiten,validaciones,tipo,CampoTipoCaracterSinEspacios
diewebsiten,validaciones,descripcion,CampoOpcionalSinValidacion
diewebsiten,grupos_validaciones,grupo,CampoTipoCamelCaseClase
diewebsiten,grupos_validaciones,validaciones,CampoTipoJson
diewebsiten,grupos_validaciones,transformaciones,CampoTipoJson