CampoTipoCaracterSinEspacios,"{'V_ALFANUMERICO_SIN_ESPACIOS'}",
CampoTipoEmail,"{'V_EMAIL'}",
CampoTipoPassword,"{'V_ALFANUMERICO_SIN_ESPACIOS'}","{'T_CIFRADO'}"
Supercolumna,,
CampoTipoFechaHora,"{'V_FECHAHORA'}",
CampoTipoCaracter,"{'V_ALFANUMERICO_CON_ESPACIOS'}",
CampoTipoNumericoSinEspacios,"{'V_NUMERICO_SIN_ESPACIOS'}",
CampoTipoNumerico,"{'V_NUMERICO_CON_ESPACIOS'}",
CampoTipoRuta,"{'V_PUNTO'}",
CampoTipoCaracterSinEspaciosMinusculas,"{'V_ALFANUMERICO_SIN_ESPACIOS'}","{'T_MINUSCULAS'}"
CampoTipoCaracterSinEspaciosMayusculas,"{'V_ALFANUMERICO_SIN_ESPACIOS'}","{'T_MAYUSCULAS'}"
CampoTipoCaracterConEspaciosMinusculas,"{'V_ALFANUMERICO_SIN_ESPACIOS'}","{'T_MINUSCULAS'}"
CampoTipoCaracterConEspaciosMayusculas,"{'V_ALFANUMERICO_SIN_ESPACIOS'}","{'T_MAYUSCULAS'}"
CampoTipoCaracterConEspaciosMinusculasGuionBajo,"{'V_ALFANUMERICO_CON_ESPACIOS'}","{'T_MINUSCULAS','T_GUIONBAJO'}"
CampoTipoIdioma,"{'V_ALFANUMERICO_SIN_ESPACIOS'}","{'T_MAYUSCULAS','T_IDIOMA'}"
CampoTipoURL,"{'V_URL'}",
CampoTipoDominioSitioWeb,"{'V_DOMINIO'}",
CampoTipoCamelCaseClase,"{'V_ALFANUMERICO_CON_ESPACIOS'}","{'T_CAMELCASE_CLASE'}"
CampoTipoCamelCaseMetodo,"{'V_ALFANUMERICO_CON_ESPACIOS'}","{'T_CAMELCASE_METODO'}"
CampoObligatorioSinValidacion,"{'Obligatorio','NoValidar'}",
CampoOpcionalSinValidacion,"{'Opcional','NoValidar'}",
CampoTipoJson,"{'Json'}",
CampoTipoJsonSet,"{'JsonSet'}",