SELECT,diewebsiten,codigos_por_pagina
SELECT,diewebsiten,colecciones
SELECT,diewebsiten,despliegues
SELECT,diewebsiten,enunciados
SELECT,diewebsiten,eventos
SELECT,diewebsiten,formularios
SELECT,diewebsiten,validaciones_evento
SELECT,diewebsiten,sentencias_cql
SELECT,diewebsiten,sesiones
SELECT,diewebsiten,sitiosweb_paginas_elementos
SELECT,diewebsiten,transacciones_por_tabla
SELECT,diewebsiten,usuarios
SELECT,diewebsiten,validaciones
SELECT,diewebsiten,grupos_validaciones
SELECT,system,batchlog
SELECT,system,compaction_history
SELECT,system,compactions_in_progress
SELECT,system,hints
SELECT,system,local
SELECT,system,paxos
SELECT,system,peer_events
SELECT,system,peers
SELECT,system,range_xfers
SELECT,system,schema_columnfamilies
SELECT,system,schema_columns
SELECT,system,schema_keyspaces
SELECT,system,schema_triggers
SELECT,system,sstable_activity
SELECT,system_traces,events
SELECT,system_traces,sessions
DELETE,diewebsiten,codigos_por_pagina
DELETE,diewebsiten,colecciones
DELETE,diewebsiten,despliegues
DELETE,diewebsiten,enunciados
DELETE,diewebsiten,eventos
DELETE,diewebsiten,validaciones_evento
DELETE,diewebsiten,formularios
DELETE,diewebsiten,sentencias_cql
DELETE,diewebsiten,sesiones
DELETE,diewebsiten,sitiosweb_paginas_elementos
DELETE,diewebsiten,transacciones_por_tabla
DELETE,diewebsiten,usuarios
DELETE,diewebsiten,validaciones
DELETE,diewebsiten,grupos_validaciones
UPDATE,diewebsiten,codigos_por_pagina
UPDATE,diewebsiten,colecciones
UPDATE,diewebsiten,despliegues
UPDATE,diewebsiten,enunciados
UPDATE,diewebsiten,eventos
UPDATE,diewebsiten,validaciones_evento
UPDATE,diewebsiten,formularios
UPDATE,diewebsiten,sentencias_cql
UPDATE,diewebsiten,sesiones
UPDATE,diewebsiten,sitiosweb_paginas_elementos
UPDATE,diewebsiten,transacciones_por_tabla
UPDATE,diewebsiten,usuarios
UPDATE,diewebsiten,validaciones
UPDATE,diewebsiten,grupos_validaciones
INSERT,diewebsiten,codigos_por_pagina
INSERT,diewebsiten,colecciones
INSERT,diewebsiten,despliegues
INSERT,diewebsiten,enunciados
INSERT,diewebsiten,eventos
INSERT,diewebsiten,validaciones_evento
INSERT,diewebsiten,formularios
INSERT,diewebsiten,sentencias_cql
INSERT,diewebsiten,sesiones
INSERT,diewebsiten,sitiosweb_paginas_elementos
INSERT,diewebsiten,transacciones_por_tabla
INSERT,diewebsiten,usuarios
INSERT,diewebsiten,validaciones
INSERT,diewebsiten,grupos_validaciones