CampoTipoCaracterSinEspacios,Validación,V_ALFANUMERICO_SIN_ESPACIOS
CampoTipoEmail,Validación,V_EMAIL
CampoTipoPassword,Validación,V_ALFANUMERICO_SIN_ESPACIOS
CampoTipoPassword,Transformación,T_CIFRADO
CampoTipoFechaHora,Validación,V_FECHAHORA
CampoTipoCaracter,Validación,V_ALFANUMERICO_CON_ESPACIOS
CampoTipoNumericoSinEspacios,Validación,V_NUMERICO_SIN_ESPACIOS
CampoTipoNumerico,Validación,V_NUMERICO_CON_ESPACIOS
CampoTipoRuta,Validación,V_PUNTO
CampoTipoCaracterSinEspaciosMinusculas,Validación,V_ALFANUMERICO_SIN_ESPACIOS
CampoTipoCaracterSinEspaciosMinusculas,Transformación,T_MINUSCULAS
CampoTipoCaracterSinEspaciosMayusculas,Validación,V_ALFANUMERICO_SIN_ESPACIOS
CampoTipoCaracterSinEspaciosMayusculas,Transformación,T_MAYUSCULAS
CampoTipoCaracterConEspaciosMinusculas,Validación,V_ALFANUMERICO_SIN_ESPACIOS
CampoTipoCaracterConEspaciosMinusculas,Transformación,T_MINUSCULAS
CampoTipoCaracterConEspaciosMayusculas,Validación,V_ALFANUMERICO_SIN_ESPACIOS
CampoTipoCaracterConEspaciosMayusculas,Transformación,T_MAYUSCULAS
CampoTipoCaracterConEspaciosMinusculasGuionBajo,Validación,V_ALFANUMERICO_CON_ESPACIOS
CampoTipoCaracterConEspaciosMinusculasGuionBajo,Transformación,T_MINUSCULAS
CampoTipoCaracterConEspaciosMinusculasGuionBajo,Transformación,T_GUIONBAJO
CampoTipoCaracterConEspaciosMayusculasGuionBajo,Validación,V_ALFANUMERICO_CON_ESPACIOS
CampoTipoCaracterConEspaciosMayusculasGuionBajo,Transformación,T_MAYUSCULAS
CampoTipoCaracterConEspaciosMayusculasGuionBajo,Transformación,T_GUIONBAJO
CampoTipoIdioma,Validación,V_ALFANUMERICO_SIN_ESPACIOS
CampoTipoIdioma,Transformación,T_MAYUSCULAS
CampoTipoIdioma,Transformación,T_IDIOMA
CampoTipoURL,Validación,V_URL
CampoTipoDominioSitioWeb,Validación,V_DOMINIO
CampoTipoCamelCaseClase,Validación,V_ALFANUMERICO_CON_ESPACIOS
CampoTipoCamelCaseClase,Transformación,T_CAMELCASE_CLASE
CampoTipoCamelCaseMetodo,Validación,V_ALFANUMERICO_CON_ESPACIOS
CampoTipoCamelCaseMetodo,Transformación,T_CAMELCASE_METODO
CampoObligatorioSinValidacion,Validación,Obligatorio
CampoObligatorioSinValidacion,Validación,NoValidar--
CampoOpcionalSinValidacion,Validación,Opcional
CampoOpcionalSinValidacion,Validación,NoValidar--
CampoTipoJson,Validación,Json
CampoTipoJsonSet,Validación,JsonSet
CampoTipoValidadorColumnasCassandra,Validación,V_TIPO_DATO_CASSANDRA