localhost,eventos,ConsultarInfoSitioWeb,CampoTipoDominioSitioWeb,sitioweb,captura
localhost,eventos,ConsultarInfoSitioWeb,CampoTipoCamelCaseMetodo,coleccion,captura
localhost,eventos,ConsultarInfoBaseDeDatos,CampoTipoCaracterSinEspaciosMinusculas,columnfamily_name,captura
localhost,eventos,ConsultarInfoBaseDeDatos,CampoTipoCaracterSinEspaciosMayusculas,tipotransaccion,captura
localhost,eventos,ConsultarInfoTabla,CampoTipoCaracterSinEspaciosMinusculas,columnfamily_name,captura
localhost,eventos,ConsultarInfoTabla,CampoTipoDominioSitioWeb,keyspace_name,captura
localhost,eventos,CrearEvento,CampoTipoDominioSitioWeb,sitioweb,captura
localhost,eventos,CrearEvento,CampoTipoURL,pagina,captura
localhost,eventos,CrearEvento,CampoTipoCamelCaseClase,evento,captura
localhost,eventos,CrearEvento,CampoTipoCamelCaseMetodo,transaccion,captura
localhost,eventos,CrearEvento,CampoTipoCaracterSinEspaciosMayusculas,tipotransaccion,captura
localhost,eventos,CrearEvento,CampoTipoCaracterSinEspaciosMinusculas,basededatos,captura
localhost,eventos,CrearEvento,CampoOpcionalSinValidacion,descripcion,captura
localhost,eventos,CrearEvento,CampoTipoNumericoSinEspacios,orden,logicaCodigo
localhost,eventos,CrearEvento,CampoObligatorioSinValidacion,sentenciacql,logicaCodigo
localhost,eventos,CrearEvento,CampoTipoCaracterSinEspaciosMinusculas,keyspace_name,captura
localhost,eventos,CrearEvento,CampoTipoCaracterSinEspaciosMayusculas,clausula,captura
localhost,eventos,CrearEvento,CampoTipoCaracterSinEspaciosMinusculas,parametro,captura
localhost,eventos,CrearEvento,CampoOpcionalSinValidacion,valorpordefecto,captura